"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
"result" 1500 0.25 0.25 1 1 1 1 1 1
