"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 0.996666666666667 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
"result" 500 0.25 0.25 1 1 1 1 1 1
